Name;Differential Expression Adjusted p-value;Differential Expression Log2 Ratio;Differential Expression p-value;gene;locus_tag
PAN6 CDS;0,763759375;0,136800529;0,378457254;PAN6;YIL145C
MTR4 CDS;0,763759375;0,134278536;0,378717032;MTR4;YJL050W
UTP13 CDS;0,763759375;-0,1867242;0,378047365;UTP13;YLR222C
TPK2 CDS;0,764447126;0,176580157;0,379391324;TPK2;YPL203W
CSE2 CDS;0,764447126;0,163085;0,379376052;CSE2;YNR010W
RIM15 CDS;0,76462894;0,146112461;0,379867864;RIM15;YFL033C
NCE101 CDS;0,76462894;0,129458239;0,379825851;NCE101;YJL205C
SMI1 CDS;0,76462894;-0,175239404;0,379703427;SMI1;YGR229C
GEP7 CDS;0,76470204;0,145452433;0,380032961;GEP7;YGL057C
hypothetical protein CDS;0,76487221;0,155484495;0,380248175;;YBL111C
LDH1 CDS;0,76487221;0,134465594;0,380375149;LDH1;YBR204C
hypothetical protein CDS;0,764926639;0,178623817;0,380531036;;YLR030W
YPT52 CDS;0,765275763;0,130272279;0,380833594;YPT52;YKR014C
SMM1 CDS;0,765417614;-0,132208208;0,381033087;SMM1;YNR015W
RPL18B CDS;0,76653943;-0,151443885;0,381748251;RPL18B;YNL301C
HIS2 CDS;0,76653943;-0,161268412;0,381849719;HIS2;YFR025C
RSM28 CDS;0,767175154;-0,152056249;0,382295602;RSM28;YDR494W
SHU2 CDS;0,768160586;0,142858679;0,382933797;SHU2;YDR078C
VPS75 CDS;0,768160586;0,132485354;0,383174748;VPS75;YNL246W
URB2 CDS;0,768405123;0,141169228;0,383426133;URB2;YJR041C
hypothetical protein CDS;0,768661677;0,192600565;0,38392563;;YLL056C
PYK2 CDS;0,768661677;0,163475792;0,383823211;PYK2;YOR347C
EXO84 CDS;0,768661677;0,133999258;0,38401604;EXO84;YBR102C
BEM4 CDS;0,768661677;0,131969619;0,384201391;BEM4;YPL161C
HPA2 CDS;0,768661677;-0,144635252;0,384119714;HPA2;YPR193C
hypothetical protein CDS;0,768945143;0,165855897;0,384602067;;YOL073C
DDR48 CDS;0,768945143;0,153237388;0,384585496;DDR48;YMR173W
NUP116 CDS;0,769484866;0,143906378;0,385459318;NUP116;YMR047C
RRP6 CDS;0,769484866;0,139623563;0,385705798;RRP6;YOR001W
SIS1 CDS;0,769484866;0,136441657;0,385187299;SIS1;YNL007C
IFH1 CDS;0,769484866;0,134872869;0,385150185;IFH1;YLR223C
RPC82 CDS;0,769484866;0,131240963;0,385779126;RPC82;YPR190C
TAH18 CDS;0,769484866;-0,140032978;0,385617578;TAH18;YPR048W
TAF10 CDS;0,769484866;-0,161385845;0,385629866;TAF10;YDR167W
GPD1 CDS;0,770203537;-0,180801727;0,386269136;GPD1;YDL022W
AKR2 CDS;0,77043112;0,155242864;0,386513019;AKR2;YOR034C
CCT4 CDS;0,770445734;-0,136027047;0,386650099;CCT4;YDL143W
hypothetical protein CDS;0,770651674;0,189481757;0,387013017;;YLR108C
SNF6 CDS;0,770651674;0,143668497;0,387010858;SNF6;YHL025W
hypothetical protein CDS;0,771144911;0,177869236;0,387390581;;YAL037C-A
REC102 CDS;0,771510509;0,146525434;0,387704169;REC102;YLR329W
IPK1 CDS;0,771775426;-0,166042119;0,387967269;IPK1;YDR315C
REF2 CDS;0,771934791;0,140768998;0,388177381;REF2;YDR195W
PFA4 CDS;0,772185062;0,129957519;0,388433274;PFA4;YOL003C
RAT1 CDS;0,772907184;0,13853046;0,388972001;RAT1;YOR048C
RRP45 CDS;0,772907184;-0,160032455;0,38905685;RRP45;YDR280W
SIP5 CDS;0,773419147;0,180632256;0,389444805;SIP5;YMR140W
NUM1 CDS;0,773529037;-0,148216204;0,389630406;NUM1;YDR150W
hypothetical protein CDS;0,773777952;0,155525808;0,390016405;;YHR218W
FET5 CDS;0,773777952;0,143738955;0,389943833;FET5;YFL041W
FPS1 CDS;0,773789349;0,135612814;0,390367914;FPS1;YLL043W
CAF4 CDS;0,773789349;-0,132634704;0,390386377;CAF4;YKR036C
hypothetical protein CDS;0,773789349;-0,158101535;0,390413084;;YBL081W
LDB19 CDS;0,774994515;0,156030252;0,391151661;LDB19;YOR322C
TIF5 CDS;0,775451029;0,125845779;0,391512662;TIF5;YPR041W
hypothetical protein CDS;0,776050643;-0,211779684;0,391946089;;YDR170W-A
hypothetical protein CDS;0,776245558;0,172115598;0,392175257;;YCR095W-A
UBP5 CDS;0,776715195;-0,135453454;0,392543331;UBP5;YER144C
hypothetical protein CDS;0,777196203;0,193009825;0,393179083;;YLR159C-A
URK1 CDS;0,777196203;0,154760545;0,393171263;URK1;YNR012W
hypothetical protein CDS;0,777196203;0,140335896;0,393085675;;YGL117W
STE13 CDS;0,777231348;-0,12835603;0,393589536;STE13;YOR219C
hypothetical protein CDS;0,777231348;-0,167427339;0,393517621;;YBR184W
RML2 CDS;0,777231348;-0,168197985;0,393353386;RML2;YEL050C
hypothetical protein CDS;0,777253791;0,160157386;0,394756256;;YBL112C
SNM1 CDS;0,777253791;0,156696565;0,394394181;SNM1;YDR478W
PUS7 CDS;0,777253791;0,145509712;0,394961851;PUS7;YOR243C
VPS62 CDS;0,777253791;0,143861178;0,394436715;VPS62;YGR141W
DTR1 CDS;0,777253791;0,140843832;0,393933696;DTR1;YBR180W
hypothetical protein CDS;0,777253791;0,138967871;0,394700792;;YLR363W-A
IRC5 CDS;0,777253791;-0,125865803;0,395302534;IRC5;YFR038W
GIM5 CDS;0,777253791;-0,129381742;0,395295382;GIM5;YML094W
RSM22 CDS;0,777253791;-0,138383838;0,395107705;RSM22;YKL155C
hypothetical protein CDS;0,777253791;-0,142864677;0,394360606;;YNL155W
IPT1 CDS;0,777253791;-0,151873754;0,395290846;IPT1;YDR072C
hypothetical protein CDS;0,777253791;-0,166209291;0,394320626;;YNL115C
RDS1 CDS;0,777253791;-0,180075139;0,394360322;RDS1;YCR106W
NUF2 CDS;0,777618284;0,151891447;0,396404605;NUF2;YOL069W
MNN4 CDS;0,777618284;0,136825371;0,396190032;MNN4;YKL201C
KTR1 CDS;0,777618284;0,124006561;0,396309881;KTR1;YOR099W
MNT2 CDS;0,777618284;-0,134007544;0,396346664;MNT2;YGL257C
MAL33 CDS;0,777618284;-0,144510659;0,395650214;MAL33;YBR297W
MRPL10 CDS;0,777618284;-0,178542068;0,396245517;MRPL10;YNL284C
MUK1 CDS;0,777745048;0,140007941;0,39673118;MUK1;YPL070W
SHE2 CDS;0,777745048;-0,155243287;0,39668807;SHE2;YKL130C
hypothetical protein CDS;0,777797899;0,130462221;0,396984185;;YPL191C
DOT5 CDS;0,777797899;-0,149338895;0,397020113;DOT5;YIL010W
GIC1 CDS;0,778227124;0,14220864;0,398375751;GIC1;YHR061C
KAE1 CDS;0,778227124;0,126527978;0,398069446;KAE1;YKR038C
PBS2 CDS;0,778227124;-0,125529771;0,397945017;PBS2;YJL128C
MET18 CDS;0,778227124;-0,131677538;0,397402886;MET18;YIL128W
ALG2 CDS;0,778227124;-0,135005995;0,398223758;ALG2;YGL065C
RDI1 CDS;0,778227124;-0,139124683;0,398527208;RDI1;YDL135C
NEJ1 CDS;0,778227124;-0,161810962;0,398549795;NEJ1;YLR265C
NOP10 CDS;0,778227124;-0,166214224;0,397640849;NOP10;YHR072W-A
SRM1 CDS;0,778227124;-0,171063681;0,398279337;SRM1;YGL097W
hypothetical protein CDS;0,778227124;-0,20880906;0,397576566;;YJL047C-A
ATG22 CDS;0,778379933;0,148672966;0,399352293;ATG22;YCL038C
AHA1 CDS;0,778379933;0,133043366;0,399545644;AHA1;YDR214W
MON2 CDS;0,778379933;-0,125308062;0,399507714;MON2;YNL297C
ECO1 CDS;0,778379933;-0,127681347;0,399511513;ECO1;YFR027W
DPP1 CDS;0,778379933;-0,136991064;0,399286507;DPP1;YDR284C
hypothetical protein CDS;0,778379933;-0,139490976;0,399369393;;YFR035C
RAI1 CDS;0,778379933;-0,178124345;0,399052867;RAI1;YGL246C
RSM27 CDS;0,778396127;-0,174387527;0,399685044;RSM27;YGR215W
HAM1 CDS;0,779427524;-0,181818852;0,40047716;HAM1;YJR069C
hypothetical protein CDS;0,779427524;-0,194977496;0,400448691;;YNL277W-A
MIG1 CDS;0,779658326;0,142093365;0,400993898;MIG1;YGL035C
COP1 CDS;0,779658326;0,134962594;0,401232854;COP1;YDL145C
GIP4 CDS;0,779658326;0,134369707;0,401514847;GIP4;YAL031C
YPS7 CDS;0,779658326;0,134329812;0,401511615;YPS7;YDR349C
ERC1 CDS;0,779658326;-0,131663467;0,401366158;ERC1;YHR032W
hypothetical protein CDS;0,779658326;-0,136197059;0,401122622;;YGR066C
hypothetical protein CDS;0,779658326;-0,179049437;0,40103627;;YMR122W-A
EAF5 CDS;0,780249421;0,126246409;0,402061363;EAF5;YEL018W
SPS19 CDS;0,780249421;-0,131862254;0,402082052;SPS19;YNL202W
MND2 CDS;0,780629502;0,149619471;0,403568038;MND2;YIR025W
CDC13 CDS;0,780629502;0,148998426;0,402604673;CDC13;YDL220C
hypothetical protein CDS;0,780629502;0,14733051;0,403245703;;YLL067C
ILV3 CDS;0,780629502;0,132264375;0,402675516;ILV3;YJR016C
NGL2 CDS;0,780629502;0,129062313;0,403496969;NGL2;YMR285C
CBF2 CDS;0,780629502;0,124864436;0,403592552;CBF2;YGR140W
GAT2 CDS;0,780629502;-0,139500573;0,403029958;GAT2;YMR136W
hypothetical protein CDS;0,780629502;-0,152818077;0,403124215;;YBL036C
YPS6 CDS;0,780629502;-0,155086202;0,403429657;YPS6;YIR039C
ATG12 CDS;0,780629502;-0,156823971;0,403298386;ATG12;YBR217W
KTR2 CDS;0,780813343;0,164571367;0,403819093;KTR2;YKR061W
hypothetical protein CDS;0,781347677;0,143502716;0,404227023;;YIL092W
MOG1 CDS;0,781509785;0,131553207;0,404442501;MOG1;YJR074W
DGA1 CDS;0,78210653;0,145111753;0,404883037;DGA1;YOR245C
SCO2 CDS;0,782468377;0,135262012;0,405202132;SCO2;YBR024W
ERG3 CDS;0,782577483;0,188864684;0,405390424;ERG3;YLR056W
RED1 CDS;0,782988372;0,135923215;0,405756831;RED1;YLR263W
LYS4 CDS;0,782988372;-0,138204413;0,405866994;LYS4;YDR234W
RMR1 CDS;0,783299194;0,143061675;0,406160023;RMR1;YGL250W
RMT2 CDS;0,784035067;0,124144784;0,406673629;RMT2;YDR465C
PRM6 CDS;0,784143623;0,159560692;0,409538423;PRM6;YML047C
IMA4 CDS;0,784143623;0,159173986;0,409068655;IMA4;YJL221C
URC2 CDS;0,784143623;0,151876755;0,409763519;URC2;YDR520C
OPT2 CDS;0,784143623;0,14099661;0,409108935;OPT2;YPR194C
HPM1 CDS;0,784143623;0,140840066;0,40728209;HPM1;YIL110W
ARG81 CDS;0,784143623;0,136872842;0,409895961;ARG81;YML099C
PDR3 CDS;0,784143623;0,136289711;0,407373431;PDR3;YBL005W
UBP9 CDS;0,784143623;0,132026854;0,40989926;UBP9;YER098W
SGF29 CDS;0,784143623;0,131904269;0,408708415;SGF29;YCL010C
SSC1 CDS;0,784143623;0,127421932;0,409870127;SSC1;YJR045C
SKG1 CDS;0,784143623;0,123197239;0,409275155;SKG1;YKR100C
MFG1 CDS;0,784143623;0,122546892;0,409557527;MFG1;YDL233W
ALY1 CDS;0,784143623;-0,123462054;0,409683837;ALY1;YKR021W
SAT4 CDS;0,784143623;-0,123563788;0,408622673;SAT4;YCR008W
ERF2 CDS;0,784143623;-0,125008612;0,407625751;ERF2;YLR246W
PRC1 CDS;0,784143623;-0,127451641;0,409626387;PRC1;YMR297W
LAS1 CDS;0,784143623;-0,12756328;0,40686675;LAS1;YKR063C
TIF35 CDS;0,784143623;-0,134744286;0,407680656;TIF35;YDR429C
HER1 CDS;0,784143623;-0,135632194;0,409578559;HER1;YOR227W
MRPL13 CDS;0,784143623;-0,142058946;0,408025919;MRPL13;YKR006C
hypothetical protein CDS;0,784143623;-0,142932475;0,407421555;;YJR112W-A
ASI1 CDS;0,784143623;-0,147857143;0,408937923;ASI1;YMR119W
MRPL9 CDS;0,784143623;-0,153133259;0,409138332;MRPL9;YGR220C
NOP1 CDS;0,784143623;-0,163893607;0,407166074;NOP1;YDL014W
CUP2 CDS;0,784264274;0,133097353;0,41022224;CUP2;YGL166W
SMC6 CDS;0,784264274;-0,146699139;0,41022648;SMC6;YLR383W
TEF1 CDS;0,784858675;0,129949043;0,410761177;TEF1;YPR080W
GCN1 CDS;0,784858675;-0,126820742;0,410801745;GCN1;YGL195W
AVO2 CDS;0,785436607;0,155089595;0,411886745;AVO2;YMR068W
HOS4 CDS;0,785436607;0,138406534;0,412108868;HOS4;YIL112W
TOD6 CDS;0,785436607;0,133706942;0,411545883;TOD6;YBL054W
VPS29 CDS;0,785436607;0,127636333;0,411444985;VPS29;YHR012W
POP1 CDS;0,785436607;0,127013744;0,411386954;POP1;YNL221C
RCY1 CDS;0,785436607;0,125988299;0,411727302;RCY1;YJL204C
HVG1 CDS;0,785436607;-0,12573037;0,412162423;HVG1;YER039C
ALG11 CDS;0,785436607;-0,136472597;0,412117833;ALG11;YNL048W
CBF5 CDS;0,78564581;-0,160981366;0,412510408;CBF5;YLR175W
CMC2 CDS;0,78564581;-0,177870483;0,41253682;CMC2;YBL059C-A
GWT1 CDS;0,785719936;0,127480879;0,412840384;GWT1;YJL091C
YAH1 CDS;0,785719936;-0,132526139;0,412793458;YAH1;YPL252C
hypothetical protein CDS;0,786213159;0,155485206;0,413496749;;YMR034C
MSS2 CDS;0,786213159;0,136643437;0,41345945;MSS2;YDL107W
KSS1 CDS;0,786213159;0,126511202;0,413243322;KSS1;YGR040W
hypothetical protein CDS;0,786852394;0,129355236;0,413965456;;YIL096C
PDC2 CDS;0,787957696;0,128455113;0,415129728;PDC2;YDR081C
FLC2 CDS;0,787957696;-0,12478786;0,414686519;FLC2;YAL053W
PRE2 CDS;0,787957696;-0,129746162;0,414904802;PRE2;YPR103W
MMS22 CDS;0,787957696;-0,130484294;0,415053655;MMS22;YLR320W
hypothetical protein CDS;0,787957696;-0,150028562;0,415210447;;YGL041W-A
FIG4 CDS;0,788111984;0,12999893;0,415627051;FIG4;YNL325C
JJJ1 CDS;0,788111984;0,120565808;0,415631764;JJJ1;YNL227C
SAF1 CDS;0,788111984;-0,171800613;0,415689918;SAF1;YBR280C
ATG3 CDS;0,788295858;0,147902266;0,41717968;ATG3;YNR007C
VBA5 CDS;0,788295858;0,147587945;0,416280926;VBA5;YKR105C
hypothetical protein CDS;0,788295858;0,147193541;0,416258331;;YER159C-A
ARG2 CDS;0,788295858;0,141018733;0,416105193;ARG2;YJL071W
NDC1 CDS;0,788295858;0,128746703;0,41751271;NDC1;YML031W
ARR1 CDS;0,788295858;0,123330534;0,417284995;ARR1;YPR199C
GAL10 CDS;0,788295858;0,122381844;0,416880688;GAL10;YBR019C
PCL7 CDS;0,788295858;-0,120753596;0,416557589;PCL7;YIL050W
PHB2 CDS;0,788295858;-0,12195615;0,417132874;PHB2;YGR231C
VMA4 CDS;0,788295858;-0,122769071;0,417506482;VMA4;YOR332W
HAS1 CDS;0,788295858;-0,133807031;0,416697489;HAS1;YMR290C
TRM82 CDS;0,788295858;-0,134121113;0,41705619;TRM82;YDR165W
SUI1 CDS;0,788295858;-0,13892156;0,417268474;SUI1;YNL244C
UBP7 CDS;0,788510134;-0,126542667;0,41775899;UBP7;YIL156W
HAT2 CDS;0,788541992;0,122666932;0,417908664;HAT2;YEL056W
hypothetical protein CDS;0,789029066;0,136352129;0,41829968;;YOR223W
RIM2 CDS;0,789415955;-0,143084728;0,41863773;RIM2;YBR192W
CAF16 CDS;0,789440377;-0,163587556;0,418783629;CAF16;YFL028C
BUB2 CDS;0,790211275;0,14554737;0,419359593;BUB2;YMR055C
hypothetical protein CDS;0,790211275;0,13469029;0,419724884;;YIL001W
HIS5 CDS;0,790211275;0,120574976;0,419501741;HIS5;YIL116W
hypothetical protein CDS;0,790211275;-0,211890683;0,419602502;;YOR381W-A
CDC10 CDS;0,790734225;0,129078322;0,420135817;CDC10;YCR002C
PCL8 CDS;0,791000009;0,139776093;0,420410244;PCL8;YPL219W
MRH4 CDS;0,793192447;0,134536973;0,421709087;MRH4;YGL064C
TIM13 CDS;0,79400849;-0,130593788;0,422410377;TIM13;YGR181W
RDS2 CDS;0,79400849;-0,13417151;0,422285723;RDS2;YPL133C
STP2 CDS;0,794884861;0,146677782;0,423029652;STP2;YHR006W
TAP42 CDS;0,794884861;0,122683175;0,423456165;TAP42;YMR028W
YUH1 CDS;0,794884861;0,121527813;0,423679789;YUH1;YJR099W
HIR3 CDS;0,794884861;0,119274825;0,423390145;HIR3;YJR140C
hypothetical protein CDS;0,794884861;0,118642699;0,423602191;;YGL185C
MF(ALPHA)2 CDS;0,794884861;-0,129934376;0,423455504;MF(ALPHA)2;YGL089C
NUP82 CDS;0,795289368;-0,121264074;0,424250607;NUP82;YJL061W
PUP3 CDS;0,795289368;-0,122900586;0,424297191;PUP3;YER094C
PLP2 CDS;0,795289368;-0,133287089;0,424260391;PLP2;YOR281C
ARP3 CDS;0,795845094;-0,124928732;0,424727704;ARP3;YJR065C
PPM2 CDS;0,79585267;0,154249828;0,425269604;PPM2;YOL141W
SEC61 CDS;0,79585267;0,129496573;0,425000904;SEC61;YLR378C
UBP3 CDS;0,79585267;-0,118536606;0,425447693;UBP3;YER151C
BRL1 CDS;0,79585267;-0,124973213;0,424884986;BRL1;YHR036W
HBS1 CDS;0,79585267;-0,134301181;0,425535909;HBS1;YKR084C
ATO3 CDS;0,79585267;-0,147885967;0,425220204;ATO3;YDR384C
RNH70 CDS;0,796164138;0,118411429;0,425836528;RNH70;YGR276C
RPO26 CDS;0,796407862;-0,166044545;0,426101006;RPO26;YPR187W
GDA1 CDS;0,796527446;-0,129370582;0,426381244;GDA1;YEL042W
SEG1 CDS;0,796527446;-0,143164431;0,426433269;SEG1;YMR086W
HST2 CDS;0,796585529;0,136699448;0,426598515;HST2;YPL015C
RSC4 CDS;0,796921721;0,1320731;0,427065515;RSC4;YKR008W
TEF2 CDS;0,796921721;0,129487637;0,427181178;TEF2;YBR118W
GYP7 CDS;0,796921721;-0,117234632;0,426987565;GYP7;YDL234C
NBL1 CDS;0,797208387;0,141431397;0,428058582;NBL1;YHR199C-A
hypothetical protein CDS;0,797208387;0,139713464;0,428140375;;YOL107W
ERG27 CDS;0,797208387;0,135129359;0,427859648;ERG27;YLR100W
hypothetical protein CDS;0,797208387;0,117362284;0,427969999;;YCL049C
IAH1 CDS;0,797208387;-0,118207332;0,427688404;IAH1;YOR126C
ELP6 CDS;0,797208387;-0,119069919;0,428101628;ELP6;YMR312W
AHC1 CDS;0,798011861;0,154887801;0,429195224;AHC1;YOR023C
ATP10 CDS;0,798011861;0,135648948;0,429243833;ATP10;YLR393W
LIF1 CDS;0,798011861;0,123780726;0,429120226;LIF1;YGL090W
hypothetical protein CDS;0,798011861;-0,122113693;0,429194071;;YLR419W
VPS70 CDS;0,798011861;-0,132646841;0,429088477;VPS70;YJR126C
SPC25 CDS;0,798361704;0,121358671;0,429566461;SPC25;YER018C
PTC3 CDS;0,799651724;0,115079455;0,430395236;PTC3;YBL056W
CKS1 CDS;0,799771678;0,120165967;0,430960345;CKS1;YBR135W
MAK11 CDS;0,799771678;0,119686101;0,43069535;MAK11;YKL021C
RTT109 CDS;0,799771678;-0,129307108;0,431083827;RTT109;YLL002W
SPP2 CDS;0,799771678;-0,141266414;0,431059073;SPP2;YOR148C
CIN5 CDS;0,799771678;-0,146976108;0,431133233;CIN5;YOR028C
hypothetical protein CDS;0,80211538;-0,152103298;0,432531736;;YLR345W
SRP21 CDS;0,802324256;-0,141178667;0,432779487;SRP21;YKL122C
AGA2 CDS;0,80234497;-0,122320243;0,433060901;AGA2;YGL032C
LSM2 CDS;0,80234497;-0,160949711;0,432977206;LSM2;YBL026W
MOD5 CDS;0,802666381;0,120260151;0,43345195;MOD5;YOR274W
hypothetical protein CDS;0,802666381;-0,201403201;0,43350473;;YMR315W-A
PCS60 CDS;0,802805996;-0,113407818;0,433850529;PCS60;YBR222C
CPD1 CDS;0,802805996;-0,133561422;0,433798507;CPD1;YGR247W
DPB3 CDS;0,802833456;-0,134031056;0,434078221;DPB3;YBR278W
IGO2 CDS;0,802833456;-0,136349251;0,434216545;IGO2;YHR132W-A
BNI5 CDS;0,802833456;-0,137831133;0,434281955;BNI5;YNL166C
CBP6 CDS;0,802833456;-0,150832778;0,434406179;CBP6;YBR120C
RMP1 CDS;0,803022165;0,142479365;0,437577296;RMP1;YLR145W
hypothetical protein CDS;0,803022165;0,1413771;0,436089861;;YGR237C
POP4 CDS;0,803022165;0,138547032;0,43492228;POP4;YBR257W
OPI1 CDS;0,803022165;0,138044231;0,438403984;OPI1;YHL020C
HSE1 CDS;0,803022165;0,132377695;0,43726;HSE1;YHL002W
TOR1 CDS;0,803022165;0,130785154;0,438295182;TOR1;YJR066W
hypothetical protein CDS;0,803022165;0,130628683;0,436924616;;YOR283W
THO2 CDS;0,803022165;0,128246622;0,439070172;THO2;YNL139C
CBK1 CDS;0,803022165;0,126888856;0,437743045;CBK1;YNL161W
CPR7 CDS;0,803022165;0,126763897;0,43801239;CPR7;YJR032W
REI1 CDS;0,803022165;0,124941906;0,438546234;REI1;YBR267W
PTC7 CDS;0,803022165;0,123612262;0,43669332;PTC7;YHR076W
WSS1 CDS;0,803022165;0,12237373;0,437332199;WSS1;YHR134W
hypothetical protein CDS;0,803022165;0,121213741;0,435936704;;YDR387C
hypothetical protein CDS;0,803022165;0,120481443;0,437838386;;YJR003C
NOP19 CDS;0,803022165;0,118218957;0,437352044;NOP19;YGR251W
YUR1 CDS;0,803022165;0,117257275;0,435732419;YUR1;YJL139C
SAS5 CDS;0,803022165;0,11722121;0,43713779;SAS5;YOR213C
DCW1 CDS;0,803022165;0,114333693;0,437658866;DCW1;YKL046C
ARC15 CDS;0,803022165;-0,114616787;0,435603374;ARC15;YIL062C
SSY5 CDS;0,803022165;-0,11475431;0,439315113;SSY5;YJL156C
SRP68 CDS;0,803022165;-0,11527598;0,437862506;SRP68;YPL243W
SUP45 CDS;0,803022165;-0,115401436;0,437714497;SUP45;YBR143C
GFD1 CDS;0,803022165;-0,117984904;0,43920155;GFD1;YMR255W
hypothetical protein CDS;0,803022165;-0,119150338;0,43944099;;YBR141C
VPS53 CDS;0,803022165;-0,12127325;0,439262524;VPS53;YJL029C
PDX3 CDS;0,803022165;-0,123422134;0,438027223;PDX3;YBR035C
ECM25 CDS;0,803022165;-0,125155427;0,438455373;ECM25;YJL201W
PRP11 CDS;0,803022165;-0,125430489;0,435821995;PRP11;YDL043C
SNF4 CDS;0,803022165;-0,131046479;0,434730292;SNF4;YGL115W
COQ1 CDS;0,803022165;-0,132410878;0,439273163;COQ1;YBR003W
RPA34 CDS;0,803022165;-0,139461748;0,435991233;RPA34;YJL148W
CBP3 CDS;0,803022165;-0,146973319;0,439378631;CBP3;YPL215W
PRP42 CDS;0,803022165;-0,147131048;0,435879744;PRP42;YDR235W
MAM33 CDS;0,803022165;-0,147549379;0,439511963;MAM33;YIL070C
UBX5 CDS;0,803022165;-0,151314328;0,436114415;UBX5;YDR330W
hypothetical protein CDS;0,803022165;-0,199957091;0,435538839;;YBR298C-A
NPP1 CDS;0,803095757;-0,120071544;0,439723948;NPP1;YCR026C
MSS51 CDS;0,803095757;-0,126943308;0,439822735;MSS51;YLR203C
INO4 CDS;0,803438382;0,120840458;0,440280986;INO4;YOL108C
EAF3 CDS;0,803438382;-0,112252694;0,440209827;EAF3;YPR023C
MLP1 CDS;0,803695011;-0,113686073;0,440556965;MLP1;YKR095W
HXT7 CDS;0,803815914;0,1581591;0,443839182;HXT7;YDR342C
DSK2 CDS;0,803815914;0,149287732;0,442625922;DSK2;YMR276W
RTT105 CDS;0,803815914;0,141254086;0,442446539;RTT105;YER104W
INP2 CDS;0,803815914;0,137789131;0,443872075;INP2;YMR163C
hypothetical protein CDS;0,803815914;0,134227808;0,443840886;;YGR038C-A
hypothetical protein CDS;0,803815914;0,122748852;0,443538346;;YPR011C
AIR2 CDS;0,803815914;0,121676811;0,442688186;AIR2;YDL175C
INN1 CDS;0,803815914;0,119849753;0,443622149;INN1;YNL152W
SNF8 CDS;0,803815914;0,119484044;0,443698054;SNF8;YPL002C
MNE1 CDS;0,803815914;0,115226794;0,442808202;MNE1;YOR350C
HDA3 CDS;0,803815914;0,113280151;0,442135773;HDA3;YPR179C
SSQ1 CDS;0,803815914;0,112467511;0,443468873;SSQ1;YLR369W
CPR2 CDS;0,803815914;-0,111840517;0,441695683;CPR2;YHR057C
NOT5 CDS;0,803815914;-0,113096604;0,443246505;NOT5;YPR072W
MCM4 CDS;0,803815914;-0,114657941;0,440903396;MCM4;YPR019W
ERS1 CDS;0,803815914;-0,122965013;0,44271845;ERS1;YCR075C
PRM2 CDS;0,803815914;-0,126242091;0,441925026;PRM2;YIL037C
DUO1 CDS;0,803815914;-0,130975997;0,442732009;DUO1;YGL061C
DET1 CDS;0,803815914;-0,133962635;0,441301355;DET1;YDR051C
hypothetical protein CDS;0,803815914;-0,136985634;0,441349135;;YOR062C
VTC1 CDS;0,803815914;-0,145355404;0,442135585;VTC1;YER072W
ACS1 CDS;0,803815914;-0,154744125;0,441541744;ACS1;YAL054C
hypothetical protein CDS;0,803815914;-0,161091905;0,443283473;;YIL014C-A
TKL2 CDS;0,803815914;-0,173196704;0,442506734;TKL2;YBR117C
CSN9 CDS;0,803955196;0,14133679;0,444170103;CSN9;YDR179C
IES2 CDS;0,803955196;0,115383259;0,444219771;IES2;YNL215W
DPH5 CDS;0,804345106;0,119108903;0,44457067;DPH5;YLR172C
GCD7 CDS;0,804360259;-0,122118519;0,444849965;GCD7;YLR291C
COA6 CDS;0,804360259;-0,131117017;0,444841647;COA6;YMR244C-A
CBF1 CDS;0,804431817;0,126065598;0,445160484;CBF1;YJR060W
MRPS8 CDS;0,804431817;-0,17232753;0,445061916;MRPS8;YMR158W
RCO1 CDS;0,804523829;0,121575885;0,445346889;RCO1;YMR075W
AKL1 CDS;0,805165675;0,143610482;0,446108971;AKL1;YBR059C
VOA1 CDS;0,805165675;-0,12873439;0,445926405;VOA1;YGR106C
TFC8 CDS;0,805165675;-0,14213766;0,446024913;TFC8;YPL007C
hypothetical protein CDS;0,80558132;-0,115394532;0,446474928;;YGR111W
BOR1 CDS;0,80567343;0,121043499;0,446725584;BOR1;YNL275W
UIP5 CDS;0,80567343;0,112270936;0,446933021;UIP5;YKR044W
ARO2 CDS;0,80567343;-0,127768284;0,446889458;ARO2;YGL148W
hypothetical protein CDS;0,806606484;0,155806511;0,447699962;;YLR464W
hypothetical protein CDS;0,806606484;0,15253368;0,448127171;;YFL065C
hypothetical protein CDS;0,806606484;0,138009055;0,448129806;;YJL107C
MAK21 CDS;0,806606484;-0,12396383;0,448070281;MAK21;YDR060W
ADE12 CDS;0,806606484;-0,144676869;0,447840683;ADE12;YNL220W
TAH1 CDS;0,807220463;-0,120192322;0,448606859;TAH1;YCR060W
PIM1 CDS;0,807371643;-0,113951528;0,448826843;PIM1;YBL022C
FKH2 CDS;0,80798954;0,127967852;0,44930641;FKH2;YNL068C
TBS1 CDS;0,808317948;0,138444637;0,449625157;TBS1;YBR150C
SFI1 CDS;0,808330052;0,124091536;0,449768018;SFI1;YLL003W
CYR1 CDS;0,808375217;-0,115891792;0,449929285;CYR1;YJL005W
PEP7 CDS;0,80911057;0,12112747;0,45061109;PEP7;YDR323C
hypothetical protein CDS;0,80911057;0,115821517;0,450523894;;YDR089W
SLP1 CDS;0,809595355;0,112806717;0,451017419;SLP1;YOR154W
RRB1 CDS;0,809741705;-0,156809077;0,451235315;RRB1;YMR131C
