Name;Differential Expression Adjusted p-value;Differential Expression Log2 Ratio;Differential Expression p-value;gene;locus_tag
PSY2 CDS;0,387013573;-0,282640278;0,085054347;PSY2;YNL201C
hypothetical protein CDS;0,388836051;0,297799476;0,085854031;;YLR271W
hypothetical protein CDS;0,388836051;0,280286349;0,085838248;;YLR358C
RAS1 CDS;0,388836051;0,269135734;0,085997514;RAS1;YOR101W
PHO8 CDS;0,388836051;0,257608588;0,085808557;PHO8;YDR481C
hypothetical protein CDS;0,388836051;-0,290745552;0,085555155;;YJR079W
VMA8 CDS;0,388836051;-0,313088044;0,086044219;VMA8;YEL051W
CHZ1 CDS;0,388836051;-0,335339479;0,085952218;CHZ1;YER030W
MBA1 CDS;0,388836051;-0,374124232;0,085770625;MBA1;YBR185C
hypothetical protein CDS;0,388836051;-0,453145263;0,085696702;;YHR086W-A
YVC1 CDS;0,389688335;-0,268141289;0,086298444;YVC1;YOR087W
GGC1 CDS;0,390153722;-0,338063535;0,086467211;GGC1;YDL198C
SUR7 CDS;0,390755564;-0,348444732;0,086666399;SUR7;YML052W
GYP6 CDS;0,39152337;-0,251978401;0,08691814;GYP6;YJL044C
hypothetical protein CDS;0,39152337;-0,332981549;0,086968563;;YMR166C
BUL1 CDS;0,392829302;0,282490324;0,087324803;BUL1;YMR275C
ANR2 CDS;0,393437451;0,257909038;0,08752625;ANR2;YKL047W
HRD1 CDS;0,394434879;0,328251198;0,087835405;HRD1;YOL013C
hypothetical protein CDS;0,394434879;0,279687052;0,088013846;;YDL176W
ORC2 CDS;0,394434879;-0,263029696;0,087965704;ORC2;YBR060C
PDA1 CDS;0,394434879;-0,263347983;0,087941609;PDA1;YER178W
HHO1 CDS;0,394814968;-0,281590857;0,088165148;HHO1;YPL127C
FUR4 CDS;0,395713349;0,286342893;0,088499045;FUR4;YBR021W
hypothetical protein CDS;0,395713349;0,254067991;0,088452643;;YMR315W
hypothetical protein CDS;0,395879562;0,366217511;0,088602886;;YCL068C
SUA7 CDS;0,396331541;0,25703448;0,08878136;SUA7;YPR086W
PBI2 CDS;0,396331541;-0,317521274;0,088837535;PBI2;YNL015W
LTE1 CDS;0,396983377;0,292435555;0,089316672;LTE1;YAL024C
hypothetical protein CDS;0,396983377;-0,337398843;0,08928794;;YBR241C
MSC1 CDS;0,396983377;-0,339824826;0,08928231;MSC1;YML128C
RPL37B CDS;0,396983377;-0,340484788;0,089268867;RPL37B;YDR500C
GND2 CDS;0,396983377;-0,350408697;0,089317917;GND2;YGR256W
YEN1 CDS;0,39756664;0,277867853;0,089650005;YEN1;YER041W
TRK1 CDS;0,39756664;-0,28114282;0,089566171;TRK1;YJL129C
ARC35 CDS;0,39756664;-0,297215828;0,089621877;ARC35;YNR035C
HUR1 CDS;0,398280361;-0,352017468;0,08987802;HUR1;YGL168W
hypothetical protein CDS;0,398369085;-0,380258481;0,08996513;;YKL107W
PMU1 CDS;0,398713972;-0,408696325;0,090110163;PMU1;YKL128C
RTC4 CDS;0,400200666;0,299619371;0,090580952;RTC4;YNL254C
ALD4 CDS;0,400200666;0,252822757;0,090568831;ALD4;YOR374W
hypothetical protein CDS;0,402083747;0,326981862;0,091089636;;YGL235W
HO CDS;0,402083747;0,314832706;0,09135513;HO;YDL227C
CSR1 CDS;0,402083747;0,268798081;0,091391893;CSR1;YLR380W
AGP2 CDS;0,402083747;-0,251628077;0,091422827;AGP2;YBR132C
YHC3 CDS;0,402083747;-0,259082213;0,091481162;YHC3;YJL059W
HYP2 CDS;0,402083747;-0,266703173;0,091150855;HYP2;YEL034W
LYS1 CDS;0,402083747;-0,292503839;0,091396968;LYS1;YIR034C
DDI3 CDS;0,402086957;-0,280586106;0,091549607;DDI3;YNL335W
SRO7 CDS;0,402841759;0,278606582;0,091857147;SRO7;YPR032W
hypothetical protein CDS;0,402841759;0,26862865;0,091854291;;YBL005W-B
hypothetical protein CDS;0,40286607;0,342250504;0,091930536;;YDR374C
hypothetical protein CDS;0,40297294;0,34145977;0,092507655;;YER188C-A
IGD1 CDS;0,40297294;0,336406041;0,092713949;IGD1;YFR017C
hypothetical protein CDS;0,40297294;0,314579205;0,092662131;;YGL193C
GPM2 CDS;0,40297294;0,277329047;0,09276749;GPM2;YDL021W
TRS85 CDS;0,40297294;0,257300538;0,09272082;TRS85;YDR108W
TVP38 CDS;0,40297294;0,255425227;0,092533444;TVP38;YKR088C
XKS1 CDS;0,40297294;-0,260365606;0,092593273;XKS1;YGR194C
hypothetical protein CDS;0,40297294;-0,26044105;0,092676393;;YOL057W
RHO1 CDS;0,40297294;-0,266391548;0,092199094;RHO1;YPR165W
TOM22 CDS;0,40297294;-0,273982651;0,092096894;TOM22;YNL131W
NOP58 CDS;0,40297294;-0,353422401;0,092769284;NOP58;YOR310C
CNL1 CDS;0,40297294;-0,371613833;0,092380079;CNL1;YDR357C
hypothetical protein CDS;0,403158786;0,313371066;0,093219436;;YHR210C
GLY1 CDS;0,403158786;0,272012126;0,09295403;GLY1;YEL046C
MET32 CDS;0,403158786;0,254767255;0,093061281;MET32;YDR253C
NUP188 CDS;0,403158786;-0,297322477;0,093116285;NUP188;YML103C
hypothetical protein CDS;0,403158786;-0,308602776;0,093136738;;YHR214C-E
hypothetical protein CDS;0,403158786;-0,370144739;0,09315706;;YGR204C-A
KAR1 CDS;0,403462546;-0,259331989;0,093357618;KAR1;YNL188W
hypothetical protein CDS;0,403733045;0,249575123;0,093608469;;YGR093W
MIM1 CDS;0,403733045;-0,257452827;0,093624184;MIM1;YOL026C
SPS1 CDS;0,403733045;-0,352869468;0,093512771;SPS1;YDR523C
hypothetical protein CDS;0,403802017;-0,352881022;0,093708181;;YNL146C-A
ECM19 CDS;0,40438963;-0,324946322;0,093980749;ECM19;YLR390W
FMP48 CDS;0,40438963;-0,329514413;0,093940353;FMP48;YGR052W
NBA1 CDS;0,404816904;0,336203585;0,094209078;NBA1;YOL070C
FIG2 CDS;0,404816904;0,334628264;0,094216401;FIG2;YCR089W
PEX11 CDS;0,404816904;-0,286307256;0,09428457;PEX11;YOL147C
RPB8 CDS;0,405683753;-0,309179839;0,094554785;RPB8;YOR224C
PRE9 CDS;0,409028058;-0,281587313;0,095505361;PRE9;YGR135W
RPL14B CDS;0,409028058;-0,298856222;0,095432962;RPL14B;YHL001W
TSL1 CDS;0,409028058;-0,31585399;0,095540909;TSL1;YML100W
NADHX dehydratase CDS;0,409845313;0,308364621;0,095938866;;YKL151C
DBF4 CDS;0,409845313;-0,285118723;0,095894054;DBF4;YDR052C
BSC2 CDS;0,409845313;-0,338147738;0,095905944;BSC2;YDR275W
PAU22 CDS;0,41029926;-0,285720987;0,096183323;PAU22;YPL282C
KAP122 CDS;0,41029926;-0,304346738;0,096116659;KAP122;YGL016W
ARO4 CDS;0,412132736;0,257518869;0,096682536;ARO4;YBR249C
hypothetical protein CDS;0,412994782;0,334431654;0,097682571;;YLR031W
HXT6 CDS;0,412994782;0,332234121;0,097420459;HXT6;YDR343C
SOV1 CDS;0,412994782;0,273105841;0,097008074;SOV1;YMR066W
ZRT3 CDS;0,412994782;0,269996623;0,097594229;ZRT3;YKL175W
MTG1 CDS;0,412994782;0,249374696;0,097548815;MTG1;YMR097C
SRY1 CDS;0,412994782;0,249180434;0,097519242;SRY1;YKL218C
SAY1 CDS;0,412994782;0,248069597;0,0975945;SAY1;YGR263C
hypothetical protein CDS;0,412994782;-0,247466429;0,09722368;;YCR061W
PBP4 CDS;0,412994782;-0,253674137;0,097227621;PBP4;YDL053C
PRT1 CDS;0,412994782;-0,27118287;0,097464296;PRT1;YOR361C
hypothetical protein CDS;0,412994782;-0,282765797;0,097321557;;YLR283W
PGM2 CDS;0,412994782;-0,334362339;0,097719378;PGM2;YMR105C
SNA4 CDS;0,413279723;0,293948958;0,097856398;SNA4;YDL123W
EMP24 CDS;0,416029283;-0,347664555;0,098647563;EMP24;YGL200C
THO1 CDS;0,417181486;-0,242744719;0,099037978;THO1;YER063W
RRP3 CDS;0,417181486;-0,310188229;0,099061283;RRP3;YHR065C
SWD3 CDS;0,41738096;-0,328019492;0,099178938;SWD3;YBR175W
hypothetical protein CDS;0,417562044;-0,253921266;0,099292288;;YCR023C
RER2 CDS;0,418052301;0,263532394;0,099526188;RER2;YBR002C
TSC10 CDS;0,418052301;-0,282821192;0,099549672;TSC10;YBR265W
QRI1 CDS;0,418824488;-0,291474132;0,099804084;QRI1;YDL103C
RAD34 CDS;0,41902604;0,296805642;0,100487337;RAD34;YDR314C
LDB18 CDS;0,41902604;0,29627525;0,100628349;LDB18;YLL049W
PRS2 CDS;0,41902604;0,257899656;0,100463503;PRS2;YER099C
RNH1 CDS;0,41902604;0,252563383;0,100263739;RNH1;YMR234W
QDR1 CDS;0,41902604;-0,247037151;0,100548887;QDR1;YIL120W
KIP1 CDS;0,41902604;-0,25144645;0,099979813;KIP1;YBL063W
PAU21 CDS;0,41902604;-0,292418222;0,100489312;PAU21;YOR394W
TRR1 CDS;0,41902604;-0,322167024;0,100115628;TRR1;YDR353W
PSF1 CDS;0,41902604;-0,324690446;0,100592646;PSF1;YDR013W
AIM29 CDS;0,41902604;-0,346209553;0,100144295;AIM29;YKR074W
MRPL32 CDS;0,41902604;-0,405642636;0,100055494;MRPL32;YCR003W
SPL2 CDS;0,42021876;-0,335919052;0,100985546;SPL2;YHR136C
PGM3 CDS;0,420349409;0,291013037;0,101300102;PGM3;YMR278W
MET22 CDS;0,420349409;0,248892188;0,101237978;MET22;YOL064C
hypothetical protein CDS;0,420349409;-0,246016965;0,101172585;;YGR054W
NUT1 CDS;0,420349409;-0,26930714;0,101192685;NUT1;YGL151W
PRE1 CDS;0,421103097;-0,240093793;0,10155265;PRE1;YER012W
hypothetical protein CDS;0,421251509;0,305281225;0,10168863;;YAR068W
TIM21 CDS;0,421251509;-0,241361218;0,101730324;TIM21;YGR033C
TEA1 CDS;0,421262095;0,280086939;0,101945711;TEA1;YOR337W
SSA1 CDS;0,421262095;0,277628787;0,10191354;SSA1;YAL005C
ERP2 CDS;0,421262095;-0,364372597;0,101910245;ERP2;YAL007C
CRN1 CDS;0,422038002;0,280630272;0,102204555;CRN1;YLR429W
hypothetical protein CDS;0,423494227;0,26525253;0,102771165;;YKR078W
MMS2 CDS;0,423494227;0,262107882;0,102752732;MMS2;YGL087C
HUB1 CDS;0,423494227;-0,269643303;0,102693886;HUB1;YNR032C-A
GTR1 CDS;0,424866164;-0,24196352;0,103224555;GTR1;YML121W
TYW1 CDS;0,424866164;-0,270279516;0,1032472;TYW1;YPL207W
MRP7 CDS;0,425674733;-0,307800442;0,103515378;MRP7;YNL005C
MDM12 CDS;0,426143797;0,266185431;0,10370121;MDM12;YOL009C
IMA1 CDS;0,426259156;0,279566477;0,103801068;IMA1;YGR287C
CUL3 CDS;0,426369085;0,28639995;0,10391548;CUL3;YGR003W
NTF2 CDS;0,426369085;-0,327734989;0,103971444;NTF2;YER009W
SUB2 CDS;0,427936449;-0,264970146;0,104425718;SUB2;YDL084W
SFT2 CDS;0,428666696;-0,253841975;0,104676105;SFT2;YBL102W
BUD6 CDS;0,429578503;-0,287943919;0,105043447;BUD6;YLR319C
QCR9 CDS;0,429578503;-0,368839045;0,104977675;QCR9;YGR183C
LIN1 CDS;0,430422553;0,254649981;0,105600406;LIN1;YHR156C
MAS1 CDS;0,430422553;-0,236842802;0,105530317;MAS1;YLR163C
PAC1 CDS;0,430422553;-0,274889;0,10561227;PAC1;YOR269W
RPS13 CDS;0,430422553;-0,3072796;0,105433589;RPS13;YDR064W
QCR8 CDS;0,430422553;-0,37870276;0,105356105;QCR8;YJL166W
hypothetical protein CDS;0,4331227;0,304484067;0,106347743;;YLR241W
hypothetical protein CDS;0,433520221;0,294890855;0,106956403;;YJL206C
FAL1 CDS;0,433520221;0,271850309;0,106731841;FAL1;YDR021W
HNT2 CDS;0,433520221;0,263697687;0,106864675;HNT2;YDR305C
GPI12 CDS;0,433520221;0,258223763;0,106859505;GPI12;YMR281W
YPT31 CDS;0,433520221;-0,245194367;0,106665857;YPT31;YER031C
MRPL50 CDS;0,433520221;-0,32258649;0,106949186;MRPL50;YNR022C
hypothetical protein CDS;0,433520221;-0,351615573;0,106551089;;YBR296C-A
hypothetical protein CDS;0,43404538;-0,384943668;0,107159065;;YDR210W
MIG2 CDS;0,434101991;0,275955256;0,107246147;MIG2;YGL209W
SNU71 CDS;0,435182361;0,267689906;0,107674974;SNU71;YGR013W
YIM1 CDS;0,435182361;-0,317111248;0,107732919;YIM1;YMR152W
TOM70 CDS;0,435964367;-0,242393519;0,108146769;TOM70;YNL121C
FMP41 CDS;0,435964367;-0,249138119;0,108048391;FMP41;YNL168C
VMA7 CDS;0,435964367;-0,318158814;0,108118751;VMA7;YGR020C
DSF2 CDS;0,436884911;0,243982132;0,108448696;DSF2;YBR007C
TFG2 CDS;0,437446926;0,255115342;0,108661875;TFG2;YGR005C
NPY1 CDS;0,43761926;-0,260121683;0,108778381;NPY1;YGL067W
SUI3 CDS;0,437945511;-0,301150653;0,10893323;SUI3;YPL237W
UGA2 CDS;0,438208908;0,294129032;0,109072544;UGA2;YBR006W
RRI1 CDS;0,439833177;-0,246405787;0,109550904;RRI1;YDL216C
SEC39 CDS;0,439938791;-0,237543133;0,109725387;SEC39;YLR440C
HIP1 CDS;0,439938791;-0,297830998;0,109708307;HIP1;YGR191W
ABM1 CDS;0,440002785;0,276026159;0,109815447;ABM1;YJR108W
SNC1 CDS;0,440220214;0,274187077;0,109943849;SNC1;YAL030W
RPL4A CDS;0,440558672;-0,256069595;0,110102571;RPL4A;YBR031W
JIP4 CDS;0,440676099;0,261570042;0,110206131;JIP4;YDR475C
BCH2 CDS;0,441664082;0,246567194;0,110601969;BCH2;YKR027W
SLX1 CDS;0,441664082;0,24147961;0,110585155;SLX1;YBR228W
GSP1 CDS;0,441829979;-0,312349273;0,11071792;GSP1;YLR293C
MRS6 CDS;0,442608562;-0,251663268;0,111062101;MRS6;YOR370C
hypothetical protein CDS;0,442608562;-0,309782831;0,11104716;;YMR084W
SRX1 CDS;0,442944314;0,414842202;0,111565318;SRX1;YKL086W
DIA3 CDS;0,442944314;0,296454099;0,111569372;DIA3;YDL024C
VAM3 CDS;0,442944314;0,251882124;0,111587354;VAM3;YOR106W
COY1 CDS;0,442944314;-0,23588758;0,11159392;COY1;YKL179C
TOP2 CDS;0,442944314;-0,241795848;0,111560159;TOP2;YNL088W
DTD1 CDS;0,442944314;-0,399710294;0,111542876;DTD1;YDL219W
ANP1 CDS;0,44350155;0,24550601;0,111808996;ANP1;YEL036C
hypothetical protein CDS;0,444426904;-0,281311406;0,112117127;;YKR104W
DLD3 CDS;0,444551986;0,325706718;0,112223548;DLD3;YEL071W
RFS1 CDS;0,445314437;-0,322282887;0,112491016;RFS1;YBR052C
ZRT2 CDS;0,446249623;-0,233897196;0,112802406;ZRT2;YLR130C
BUL2 CDS;0,446315595;-0,251360733;0,112894245;BUL2;YML111W
ADE17 CDS;0,447393524;-0,247705283;0,113317592;ADE17;YMR120C
ALT2 CDS;0,447393524;-0,289590965;0,113273857;ALT2;YDR111C
MEP1 CDS;0,447483479;0,300157466;0,113792532;MEP1;YGR121C
SMX3 CDS;0,447483479;0,233504649;0,113565781;SMX3;YPR182W
